456	385
50
130	204	3	26520
166	206	1	34196
178	81	5	14418
288	94	4	27072
220	125	2	27500
129	172	2	22188
230	147	1	33810
149	247	2	36803
280	195	1	54600
145	152	1	22040
156	97	6	15132
231	199	1	45969
130	199	2	25870
185	184	1	34040
110	87	4	9570
207	196	2	40572
214	139	4	29746
142	239	3	33938
165	147	1	24255
240	148	2	35520
253	202	1	51106
124	109	5	13516
292	140	1	40880
290	186	1	53940
266	170	2	45220
112	213	2	23856
240	152	2	36480
186	84	4	15624
136	172	3	23392
203	186	2	37758
273	177	2	48321
233	184	1	42872
259	158	2	40922
168	90	8	15120
220	168	4	36960
127	241	2	30607
292	141	2	41172
124	210	2	26040
205	197	1	40385
262	147	2	38514
168	140	2	23520
295	150	2	44250
203	159	3	32277
142	157	1	22294
113	96	3	10848
194	94	5	18236
179	92	4	16468
270	210	1	56700
118	144	1	16992
292	236	1	68912
