500	500
30
348	220	1	76560
255	184	1	46920
191	249	1	47559
212	194	1	41128
348	322	1	112056
171	369	1	63099
206	327	1	67362
221	277	1	61217
250	202	1	50500
205	226	1	46330
193	280	1	54040
364	311	1	113204
264	224	1	59136
244	347	1	84668
270	338	1	91260
224	236	1	52864
168	177	1	29736
285	347	1	98895
315	294	1	92610
247	219	1	54093
315	302	1	95130
129	147	1	18963
268	273	1	73164
350	352	1	123200
186	258	1	47988
365	374	1	136510
145	259	1	37555
284	184	1	52256
129	198	1	25542
146	351	1	51246
