500	500
50
277	242	1	67034
233	177	1	41241
182	216	1	39312
147	134	1	19698
213	127	1	27051
315	212	1	66780
261	175	1	45675
210	281	1	59010
243	256	1	62208
159	314	1	49926
217	147	1	31899
260	349	1	90740
222	199	1	44178
296	127	1	37592
263	302	1	79426
226	250	1	56500
264	344	1	90816
237	179	1	42423
245	137	1	33565
137	328	1	44936
321	154	1	49434
200	174	1	34800
270	128	1	34560
299	179	1	53521
165	370	1	61050
198	182	1	36036
155	295	1	45725
278	219	1	60882
184	155	1	28520
187	270	1	50490
208	293	1	60944
261	204	1	53244
344	168	1	57792
213	135	1	28755
362	162	1	58644
362	374	1	135388
237	322	1	76314
281	308	1	86548
155	344	1	53320
210	163	1	34230
325	225	1	73125
360	225	1	81000
346	347	1	120062
131	144	1	18864
284	284	1	80656
262	228	1	59736
146	178	1	25988
254	164	1	41656
332	238	1	79016
313	304	1	95152
