150	175
35
78	44	2	3432
64	70	2	4480
52	70	3	3640
79	100	1	7900
66	60	1	3960
81	39	2	3159
91	94	1	8554
66	56	4	3696
91	50	2	4550
96	68	1	6528
40	112	3	4480
76	106	1	8056
63	35	8	2205
86	60	2	5160
93	84	1	7812
95	92	1	8740
70	57	1	3990
66	71	1	4686
84	78	1	6552
51	67	4	3417
34	89	2	3026
77	87	2	6699
44	66	4	2904
76	76	2	5776
50	45	1	2250
36	66	4	2376
38	66	4	2508
75	39	6	2925
77	103	1	7931
50	45	8	2250
80	107	1	8560
61	54	5	3294
31	95	2	2945
39	67	5	2613
63	102	1	6426
