207	267		
40			
74	165	1	436
82	159	1	507
49	109	7	200
93	112	2	300
65	161	3	655
80	155	1	512
111	97	2	466
130	99	2	466
51	170	4	541
74	62	4	278
76	162	1	420
46	148	1	725
56	67	6	370
81	117	3	180
117	105	1	466
110	121	1	471
91	108	2	337
114	84	3	335
53	139	3	674
105	132	1	533
61	103	1	425
78	108	4	666
73	74	2	539
88	97	2	619
59	136	2	425
113	98	2	686
75	155	2	725
102	59	3	742
53	96	4	198
105	126	2	525
100	76	1	553
72	84	5	248
113	103	1	280
91	69	3	661
69	124	6	738
45	135	1	559
119	71	1	269
125	154	1	379
47	153	3	500
88	109	1	668
