263	241
40
35	135	2	4725
102	38	1	3876
87	125	3	10875
67	89	2	5963
85	49	2	4165
72	79	2	5688
82	94	2	7708
79	62	2	4898
39	87	4	3393
69	78	1	5382
59	101	2	5959
65	47	2	3055
49	68	3	3332
59	81	3	4779
101	66	2	6666
39	59	1	2301
49	69	3	3381
59	79	3	4661
64	84	2	5376
45	71	4	3195
75	42	3	3150
80	47	3	3760
50	75	2	3750
65	59	1	3835
68	56	2	3808
85	86	3	7310
44	79	4	3476
86	87	2	7482
33	112	3	3696
83	63	2	5229
45	43	2	1935
48	51	2	2448
62	83	2	5146
45	54	2	2430
108	47	2	5076
51	56	3	2856
45	45	1	2025
63	56	2	3528
48	53	1	2544
39	41	2	1599
