794	985
40
124	237	7	29388
185	201	4	37185
319	201	1	64119
219	315	5	68985
386	304	5	117344
183	329	6	60207
250	149	4	37250
222	537	3	119214
309	227	3	70143
273	209	4	57057
325	206	2	66950
344	421	4	144824
380	497	2	188860
301	228	4	68628
261	409	1	106749
194	206	3	39964
175	300	6	52500
256	244	1	62464
183	342	2	62586
282	231	4	65142
326	147	4	47922
268	237	2	63516
384	362	1	139008
248	363	3	90024
295	368	1	108560
315	408	2	128520
411	246	3	101106
189	576	3	108864
261	314	3	81954
181	382	7	69142
256	367	5	93952
315	464	3	146160
186	561	2	104346
167	354	3	59118
500	267	2	133500
313	471	1	147423
492	321	2	157932
251	260	7	65260
282	364	1	102648
429	264	3	113256
