977	953
50
121	354	3	42834
254	321	2	81534
261	308	4	80388
451	187	3	84337
124	237	7	29388
351	402	3	141102
351	165	3	57915
185	201	4	37185
319	201	1	64119
261	308	4	80388
451	187	3	84337
219	315	4	68985
386	304	3	117344
183	329	2	60207
212	214	5	45368
354	254	3	89916
250	149	4	37250
222	537	3	119214
309	227	3	70143
273	209	4	57057
325	206	2	66950
344	421	4	144824
380	497	2	188860
301	228	2	68628
261	409	2	106749
194	206	3	39964
175	300	2	52500
256	244	4	62464
183	342	2	62586
282	231	1	65142
326	147	2	47922
268	237	2	63516
384	362	2	139008
248	363	1	90024
295	368	3	108560
315	408	2	128520
411	246	3	101106
189	576	3	108864
261	314	3	81954
181	382	2	69142
256	367	1	93952
315	464	3	146160
186	561	2	104346
167	354	2	59118
500	267	2	133500
313	471	1	147423
492	321	2	157932
251	260	3	65260
282	364	1	102648
429	264	2	113256
